"kappa","alpha_t","Fidelity"
0.,0.,1.
0.,0.01,0.9999006674800529
0.,0.02,0.9996053460300555
0.,0.03,0.9991180626786613
0.,0.04,0.9984428597375632
0.,0.05,0.9975837924978724
0.,0.06,0.9965449269656902
0.,0.07,0.9953303376372127
0.,0.08,0.9939441053136878
0.,0.09,0.9923903149565212
0.,0.1,0.9906730535827901
0.,0.11,0.9887964082014158
0.,0.12,0.9867644637902024
0.,0.13,0.9845813013139425
0.,0.14,0.9822509957837492
0.,0.15,0.9797776143577671
0.,0.16,0.9771652144833763
0.,0.17,0.9744178420809912
0.,0.18,0.9715395297695282
0.,0.19,0.9685342951335967
0.,0.2,0.9654061390324428
0.,0.21,0.9621590439506585
0.,0.22,0.9587969723906447
0.,0.23,0.9553238653067961
0.,0.24,0.9517436405813591
0.,0.25,0.9480601915418895
0.,0.26,0.9442773855202223
0.,0.27,0.9403990624528441
0.,0.28,0.9364290335225396
0.,0.29,0.9323710798411708
0.,0.3,0.9282289511734226
0.,0.31,0.9240063647013386
0.,0.32,0.9197070038294484
0.,0.33,0.9153345170302758
0.,0.34,0.9108925167299997
0.,0.35000000000000003,0.9063845782340226
0.,0.36,0.9018142386921908
0.,0.37,0.8971849961033909
0.,0.38,0.892500308359238
0.,0.39,0.8877635923265527
0.,0.4,0.8829782229683152
0.,0.41000000000000003,0.8781475325027668
0.,0.42,0.873274809600324
0.,0.43,0.8683632986179489
0.,0.44,0.8634161988706178
0.,0.45,0.8584366639395108
0.,0.46,0.8534278010165395
0.,0.47000000000000003,0.8483926702848174
0.,0.48,0.843334284334667
0.,0.49,0.8382556076147503
0.,0.5,0.8331595559178986
0.,0.51,0.8280489959012082
0.,0.52,0.822926744639962
0.,0.53,0.8177955692149276
0.,0.54,0.8126581863325752
0.,0.55,0.8075172619777523
0.,0.56,0.8023754110983421
0.,0.5700000000000001,0.7972351973214322
0.,0.58,0.7920991327005065
0.,0.59,0.7869696774931726
0.,0.6,0.7818492399689312
0.,0.61,0.7767401762464854
0.,0.62,0.7716447901600878
0.,0.63,0.7665653331544147
