"eta_over_gamma","t","Fidelity"
0.,0.1,0.9953286260229262
0.,0.158,0.9888017091182475
0.,0.216,0.9799172463977064
0.,0.274,0.9690108712627872
0.,0.332,0.9563968106735227
0.,0.39000000000000007,0.942366918990584
0.,0.448,0.927190234905366
0.,0.506,0.9111129643063243
0.,0.564,0.8943588054432923
0.,0.6220000000000001,0.8771295446684192
0.,0.6800000000000002,0.8596058615206859
0.,0.738,0.8419482911324703
0.,0.796,0.8242983000084718
0.,0.854,0.8067794382831865
0.,0.912,0.7894985377146492
0.,0.9699999999999999,0.7725469300198393
0.,1.028,0.7560016647914818
0.,1.086,0.7399267102383158
0.,1.1440000000000001,0.7243741234343549
0.,1.2020000000000002,0.7093851797127959
0.,1.2600000000000002,0.6949914533558237
0.,1.318,0.6812158438652283
0.,1.3760000000000001,0.6680735438975236
0.,1.4340000000000002,0.6555729464531179
0.,1.492,0.6437164901594759
0.,1.55,0.6325014425164346
0.,1.608,0.6219206218074894
0.,1.6660000000000001,0.6119630590502236
0.,1.7240000000000002,0.6026146018853471
0.,1.7819999999999998,0.5938584627075967
0.,1.8399999999999999,0.5856757136411339
0.,1.898,0.578045731173008
0.,1.956,0.5709465933947061
0.,2.014,0.5643554328760505
0.,2.072,0.5582487482183931
0.,2.13,0.552602677314527
0.,2.188,0.547393235289018
0.,2.2459999999999996,0.5425965200117603
0.,2.3040000000000003,0.5381888879754408
0.,2.3619999999999997,0.5341471032094285
0.,2.4200000000000004,0.5304484617727279
0.,2.4779999999999998,0.5270708942307981
0.,2.536,0.5239930483783121
0.,2.594,0.5211943543249676
0.,2.652,0.5186550739163777
0.,2.71,0.5163563363186433
0.,2.7680000000000002,0.514280161454863
0.,2.826,0.5124094728456857
0.,2.884,0.5107281012749381
0.,2.942,0.509220780576015
0.,3.,0.5078731367155743
1.,0.1,0.9954754553018464
1.,0.158,0.9893390230960927
1.,0.216,0.9811897073753306
1.,0.274,0.9714162251267259
1.,0.332,0.9603562772350467
1.,0.39000000000000007,0.9483015527860335
1.,0.448,0.935502593478114
1.,0.506,0.9221734193653093
1.,0.564,0.9084958526893948
1.,0.6220000000000001,0.8946235035170641
1.,0.6800000000000002,0.880685401033521
1.,0.738,0.8667892690870875
1.,0.796,0.8530244550901054
1.,0.854,0.8394645285975574
1.,0.912,0.8261695705616472
1.,0.9699999999999999,0.813188177003314
1.,1.028,0.8005592021329417
1.,1.086,0.7883132661748534
1.,1.1440000000000001,0.7764740526047191
1.,1.2020000000000002,0.7650594184309304
1.,1.2600000000000002,0.7540823397223205
1.,1.318,0.7435517129445485
1.,1.3760000000000001,0.7334730309211013
1.,1.4340000000000002,0.7238489504600671
1.,1.492,0.7146797669410381
1.,1.55,0.7059638094773221
1.,1.608,0.6976977686836149
1.,1.6660000000000001,0.6898769676048966
1.,1.7240000000000002,0.6824955850074526
1.,1.7819999999999998,0.6755468390007318
1.,1.8399999999999999,0.6690231378482677
1.,1.898,0.6629162038331514
1.,1.956,0.6572171751625768
1.,2.014,0.6519166901195449
1.,2.072,0.6470049569898789
1.,2.13,0.6424718127009774
1.,2.188,0.6383067725968569
1.,2.2459999999999996,0.6344990733338971
1.,2.3040000000000003,0.6310377105055229
1.,2.3619999999999997,0.6279114722845344
1.,2.4200000000000004,0.6251089701021579
1.,2.4779999999999998,0.6226186671568934
1.,2.536,0.6204289053582239
1.,2.594,0.6185279311551183
1.,2.652,0.6169039205724067
1.,2.71,0.6155450036754813
1.,2.7680000000000002,0.6144392886017469
1.,2.826,0.6135748852326619
1.,2.884,0.6129399285302809
1.,2.942,0.6125226015245278
1.,3.,0.6123111579098994
10.,0.1,0.9965269109708909
10.,0.158,0.9927706047799386
10.,0.216,0.9885232551894043
10.,0.274,0.9840598903533722
10.,0.332,0.9795217898056658
10.,0.39000000000000007,0.9749836601648952
10.,0.448,0.9704871144735328
10.,0.506,0.9660572366942244
10.,0.564,0.9617107155043623
10.,0.6220000000000001,0.9574598078264569
10.,0.6800000000000002,0.9533142565498494
10.,0.738,0.9492822139184524
10.,0.796,0.9453706868041611
10.,0.854,0.9415857550366227
10.,0.912,0.9379326837527869
10.,0.9699999999999999,0.9344159873222876
10.,1.028,0.9310394718298698
10.,1.086,0.9278062685196161
10.,1.1440000000000001,0.9247188637495709
10.,1.2020000000000002,0.9217791278336034
10.,1.2600000000000002,0.9189883437110833
10.,1.318,0.9163472357533635
10.,1.3760000000000001,0.913855998750255
10.,1.4340000000000002,0.9115143270159176
10.,1.492,0.9093214435190898
10.,1.55,0.9072761289361426
10.,1.608,0.9053767505294046
10.,1.6660000000000001,0.9036212907603516
10.,1.7240000000000002,0.9020073755548721
10.,1.7819999999999998,0.9005323021450587
10.,1.8399999999999999,0.8991930664186547
10.,1.898,0.8979863897134619
10.,1.956,0.8969087449998056
10.,2.014,0.8959563823996113
10.,2.072,0.8951253539958905
10.,2.13,0.894411537891431
10.,2.188,0.8938106614803221
10.,2.2459999999999996,0.8933183239006005
10.,2.3040000000000003,0.8929300176407753
10.,2.3619999999999997,0.8926411492773021
10.,2.4200000000000004,0.892447059324216
10.,2.4779999999999998,0.892343041180091
10.,2.536,0.8923243591612857
10.,2.594,0.892386265614036
10.,2.652,0.8925240171013948
10.,2.71,0.8927328896642577
10.,2.7680000000000002,0.8930081931587868
10.,2.826,0.8933452846754352
10.,2.884,0.8937395810474731
10.,2.942,0.8941865704594567
10.,3.,0.894681823168427
