"eta_over_alpha","t","Fidelity"
0.,2.15,0.3407680493222527
0.,2.16,0.3460982007169987
0.,2.17,0.3514631728979791
0.,2.18,0.35686065163432173
0.,2.19,0.36228832126768984
0.,2.2,0.36774386564332573
0.,2.21,0.3732249690366428
0.,2.22,0.37872931707502944
0.,2.23,0.38425459765451153
0.,2.24,0.38979850185094245
0.,2.25,0.3953587248253748
0.,2.2600000000000002,0.4009329667232928
0.,2.27,0.4065189335673634
0.,2.2800000000000002,0.41211433814339804
0.,2.29,0.41771690087919017
0.,2.3000000000000003,0.42332435071592495
0.,2.31,0.42893442597184395
0.,2.32,0.43454487519786233
0.,2.33,0.44015345802483485
0.,2.34,0.4457579460021742
0.,2.35,0.451356123427536
0.,2.36,0.45694578816727216
0.,2.37,0.46252475246738634
0.,2.38,0.46809084375470067
0.,2.39,0.4736419054279738
0.,2.4,0.4791757976386987
0.,2.41,0.4846903980613243
0.,2.42,0.4901836026526394
0.,2.43,0.4956533264000817
0.,2.44,0.5010975040587149
0.,2.45,0.5065140908766473
0.,2.46,0.5119010633086539
0.,2.47,0.5172564197177799
0.,2.48,0.5225781810647004
0.,2.49,0.5278643915846309
0.,2.5,0.5331131194515689
0.,2.5100000000000002,0.5383224574296785
0.,2.52,0.5434905235116078
0.,2.5300000000000002,0.5486154615435638
0.,2.54,0.5536954418369481
0.,2.5500000000000003,0.5587286617663872
0.,2.56,0.5637133463539805
0.,2.57,0.568647748839603
0.,2.58,0.5735301512371065
0.,2.59,0.5783588648762631
0.,2.6,0.5831322309303145
0.,2.61,0.5878486209289763
0.,2.62,0.5925064372567777
0.,2.63,0.597104113636601
0.,2.64,0.6016401155983078
0.,2.65,0.6061129409323368
0.,2.66,0.6105211201281674
0.,2.67,0.6148632167975504
0.,2.68,0.6191378280824116
0.,2.69,0.6233435850473444
0.,2.7,0.6274791530566082
0.,2.71,0.6315432321355623
0.,2.72,0.6355345573164694
0.,2.73,0.6394518989686017
0.,2.74,0.6432940631126094
0.,2.75,0.6470598917190891
0.,2.7600000000000002,0.6507482629913256
0.,2.77,0.6543580916321622
0.,2.7800000000000002,0.6578883290949814
0.,2.79,0.6613379638187673
0.,2.8000000000000003,0.6647060214472403
0.,2.81,0.6679915650320556
0.,2.82,0.6711936952200603
0.,2.83,0.6743115504246201
0.,2.84,0.6773443069810181
0.,2.85,0.6802911792859545
0.,2.86,0.6831514199211576
0.,2.87,0.6859243197611495
0.,2.88,0.6886092080651914
0.,2.89,0.6912054525534556
0.,2.9,0.6937124594674753
0.,2.91,0.6961296736149198
0.,2.92,0.6984565783987609
0.,2.93,0.7006926958308941
0.,2.94,0.7028375865302876
0.,2.95,0.7048908497057365
0.,2.96,0.7068521231233059
0.,2.97,0.7087210830585544
0.,2.98,0.7104974442336269
0.,2.99,0.7121809597393267
0.,3.,0.7137714209422625
0.,3.0100000000000002,0.7152686573771917
0.,3.02,0.716672536624667
0.,3.0300000000000002,0.7179829641741187
0.,3.04,0.71919988327249
0.,3.0500000000000003,0.7203232747585651
0.,3.06,0.7213531568831245
0.,3.0700000000000003,0.7222895851150699
0.,3.08,0.723132651933666
0.,3.09,0.7238824866070535
0.,3.1,0.7245392549571863
0.,3.11,0.7251031591113578
0.,3.12,0.7255744372404815
0.,3.13,0.7259533632842949
0.,3.14,0.7262402466636619
0.,3.15,0.7264354319801566
0.,3.16,0.7265392987031052
0.,3.17,0.7265522608442792
0.,3.18,0.726474766620428
0.,3.19,0.7263072981038482
0.,3.2,0.7260503708611863
0.,3.21,0.7257045335806807
0.,3.22,0.7252703676880458
0.,3.23,0.7247484869512122
0.,3.24,0.724139537074132
0.,3.25,0.7234441952798698
0.,3.2600000000000002,0.7226631698831953
0.,3.27,0.7217971998529045
0.,3.2800000000000002,0.7208470543640909
0.,3.29,0.7198135323406005
0.,3.3000000000000003,0.7186974619878967
0.,3.31,0.7174997003165741
0.,3.3200000000000003,0.7162211326567545
0.,3.33,0.7148626721636068
0.,3.34,0.7134252593142302
0.,3.35,0.7119098613961463
0.,3.36,0.7103174719876454
0.,3.37,0.7086491104302338
0.,3.38,0.7069058212934345
0.,3.39,0.7050886738321909
0.,3.4,0.7031987614371267
0.,3.41,0.7012372010779193
0.,3.42,0.699205132740041
0.,3.43,0.6971037188551252
0.,3.44,0.6949341437252206
0.,3.45,0.6926976129411877
0.,3.46,0.6903953527955051
0.,3.47,0.6880286096897419
0.,3.48,0.6855986495369651
0.,3.49,0.6831067571593394
0.,3.5,0.68055423568119
0.,3.5100000000000002,0.6779424059177874
0.,3.52,0.675272605760125
0.,3.5300000000000002,0.672546189555949
0.,3.54,0.6697645274873123
0.,3.5500000000000003,0.6669290049449137
0.,3.56,0.6640410218994885
0.,3.5700000000000003,0.6611019922705202
0.,3.58,0.6581133432925317
0.,3.59,0.6550765148792272
