"r","t","Fidelity"
0.,0.,1.
0.,0.01,0.9900993366533777
0.,0.02,0.9803947195761615
0.,0.03,0.9708822667921244
0.,0.04,0.9615581731933178
0.,0.05,0.9524187090179798
0.,0.06,0.9434602183585787
0.,0.07,0.9346791176994029
0.,0.08,0.9260718944831057
0.,0.09,0.917635105705636
0.,0.1,0.9093653765389909
0.,0.11,0.9012593989812392
0.,0.12,0.8933139305332767
0.,0.13,0.8855257929017831
0.,0.14,0.8778918707278627
0.,0.15,0.8704091103408589
0.,0.16,0.8630745185368455
0.,0.17,0.8558851613813048
0.,0.18,0.8488381630355155
0.,0.19,0.8419307046061779
0.,0.2,0.8351600230178197
0.,0.21,0.8285234099075284
0.,0.22,0.8220182105415708
0.,0.23,0.815641822753463
0.,0.24,0.8093916959030705
0.,0.25,0.8032653298563167
0.,0.26,0.7972602739850971
0.,0.27,0.7913741261869949
0.,0.28,0.7856045319244074
0.,0.29,0.779949183282701
0.,0.3,0.7744058180470133
0.,0.31,0.7689722187973372
0.,0.32,0.7636462120215243
0.,0.33,0.7584256672458496
0.,0.34,0.7533084961827947
0.,0.35000000000000003,0.7482926518957047
0.,0.36,0.7433761279799859
0.,0.37,0.7385569577605172
0.,0.38,0.7338332135049546
0.,0.39,0.7292030056526118
0.,0.4,0.7246644820586108
0.,0.41000000000000003,0.7202158272529996
0.,0.42,0.7158552617145398
0.,0.43,0.7115810411588744
0.,0.44,0.7073914558407907
0.,0.45,0.7032848298702996
0.,0.46,0.699259520542257
0.,0.47000000000000003,0.6953139176792605
0.,0.48,0.691446442987556
0.,0.49,0.6876555494256997
0.,0.5,0.6839397205857212
0.,0.51,0.6802974700865392
0.,0.52,0.6767273409793901
0.,0.53,0.6732279051650287
0.,0.54,0.6697977628224696
0.,0.55,0.6664355418490397
0.,0.56,0.6631398973115197
0.,0.5700000000000001,0.6599095109081519
0.,0.58,0.6567430904413026
0.,0.59,0.6536393693005657
0.,0.6,0.6505971059561011
0.,0.61,0.6476150834620071
0.,0.62,0.6446921089695253
0.,0.63,0.6418270132498852
0.,0.64,0.6390186502265971
0.,0.65,0.6362658965170063
0.,0.66,0.6335676509829251
0.,0.67,0.6309228342901629
0.,0.68,0.6283303884767779
0.,0.6900000000000001,0.6257892765298783
0.,0.7000000000000001,0.6232984819708032
0.,0.71,0.6208570084485182
0.,0.72,0.6184638793410608
0.,0.73,0.6161181373648794
0.,0.74,0.6138188441919064
0.,0.75,0.611565080074215
0.,0.76,0.6093559434761073
0.,0.77,0.6071905507134889
0.,0.78,0.6050680356003824
0.,0.79,0.6029875491024417
0.,0.8,0.6009482589973277
0.,0.81,0.5989493495418073
0.,0.8200000000000001,0.596990021145446
0.,0.8300000000000001,0.5950694900507603
0.,0.84,0.5931869880197049
0.,0.85,0.5913417620263673
0.,0.86,0.5895330739557466
0.,0.87,0.5877602003084984
0.,0.88,0.5860224319115253
0.,0.89,0.5843190736342978
0.,0.9,0.5826494441107932
0.,0.91,0.5810128754669404
0.,0.92,0.5794087130534603
0.,0.93,0.5778363151839987
0.,0.9400000000000001,0.576295052878442
0.,0.9500000000000001,0.5747843096113175
0.,0.96,0.573303481065175
0.,0.97,0.5718519748888514
0.,0.98,0.5704292104605225
0.,0.99,0.5690346186554465
0.,1.,0.5676676416183064
0.,1.01,0.5663277325400609
0.,1.02,0.565014355439213
0.,1.03,0.5637269849474104
0.,1.04,0.5624651060992912
0.,1.05,0.5612282141264909
0.,1.06,0.5600158142557283
0.,1.07,0.5588274215108896
0.,1.08,0.5576625605190313
0.,1.09,0.5565207653202249
0.,1.1,0.555401579181167
0.,1.11,0.554304554412479
0.,1.12,0.5532292521896264
0.,1.1300000000000001,0.5521752423773825
0.,1.1400000000000001,0.5511421033577687
0.,1.1500000000000001,0.5501294218614019
0.,1.16,0.5491367928021808
0.,1.17,0.5481638191152465
0.,1.18,0.5472101115981511
0.,1.19,0.5462752887551716
0.,1.2,0.5453589766447062
0.,1.21,0.5444608087296932
0.,1.22,0.5435804257309906
0.,1.23,0.5427174754836606
0.,1.24,0.541871612796098
0.,1.25,0.5410424993119494
0.,1.26,0.5402298033747662
0.,1.27,0.5394331998953374
0.,1.28,0.5386523702216499
0.,1.29,0.5378870020114227
0.,1.3,0.5371367891071669
0.,1.31,0.5364014314137178
0.,1.32,0.535680634778193
0.,1.33,0.5349741108723277
0.,1.34,0.534281577077139
0.,1.35,0.5336027563698749
0.,1.36,0.5329373772132014
0.,1.37,0.5322851734465842
0.,1.3800000000000001,0.5316458841798204
0.,1.3900000000000001,0.5310192536886792
0.,1.4000000000000001,0.530405031312609
0.,1.41,0.5298029713544696
0.,1.42,0.5292128329822504
0.,1.43,0.5286343801327337
0.,1.44,0.5280673814170669
0.,1.45,0.5275116100282036
0.,1.46,0.526966843650178
0.,1.47,0.5264328643691751
0.,1.48,0.525909458586363
0.,1.49,0.5253964169324492
0.,1.5,0.5248935341839319
0.,1.51,0.5244006091810065
0.,1.52,0.5239174447470992
0.,1.53,0.5234438476099943
0.,1.54,0.522979628324522
0.,1.55,0.5225246011967789
0.,1.56,0.5220785842098464
0.,1.57,0.5216413989509829
0.,1.58,0.5212128705402557
0.,1.59,0.5207928275605865
0.,1.6,0.5203811019891831
0.,1.61,0.5199775291303269
0.,1.62,0.5195819475494935
0.,1.6300000000000001,0.5191941990087761
0.,1.6400000000000001,0.5188141284035881
0.,1.6500000000000001,0.51844158370062
0.,1.6600000000000001,0.5180764158770232
0.,1.67,0.5177184788607994
0.,1.68,0.5173676294723693
0.,1.69,0.5170237273672996
0.,1.7,0.5166866349801631
0.,1.71,0.5163562174695099
0.,1.72,0.5160323426639304
0.,1.73,0.5157148810091838
0.,1.74,0.5154037055163755
0.,1.75,0.5150986917111593
0.,1.76,0.514799717583946
0.,1.77,0.5145066635410985
0.,1.78,0.5142194123570922
0.,1.79,0.5139378491276235
0.,1.8,0.5136618612236463
0.,1.81,0.5133913382463191
0.,1.82,0.5131261719828439
0.,1.83,0.51286625636318
0.,1.84,0.5126114874176136
0.,1.85,0.5123617632351697
0.,1.86,0.5121169839228455
0.,1.87,0.5118770515656526
0.,1.8800000000000001,0.5116418701874486
0.,1.8900000000000001,0.5114113457125465
0.,1.9000000000000001,0.5111853859280828
0.,1.9100000000000001,0.5109639004471308
0.,1.92,0.510746800672545
0.,1.93,0.5105339997615207
0.,1.94,0.5103254125908563
0.,1.95,0.5101209557229022
0.,1.96,0.5099205473721852
0.,1.97,0.5097241073726927
0.,1.98,0.5095315571458058
0.,1.99,0.5093428196688664
0.,2.,0.5091578194443671
0.,2.0100000000000002,0.5089764824697515
0.,2.02,0.5087987362078117
0.,2.0300000000000002,0.5086245095576731
0.,2.04,0.5084537328263526
0.,2.05,0.5082863377008806
0.,2.06,0.5081222572209749
0.,2.07,0.5079614257522559
0.,2.08,0.5078037789599914
0.,2.09,0.5076492537833628
0.,2.1,0.5074977884102388
0.,2.11,0.5073493222524509
0.,2.12,0.5072037959215562
0.,2.13,0.507061151205082
0.,2.14,0.5069213310432398
0.,2.15,0.5067842795061005
0.,2.16,0.5066499417712219
0.,2.17,0.5065182641017189
0.,2.18,0.5063891938247679
0.,2.19,0.5062626793105371
0.,2.2,0.5061386699515342
0.,2.21,0.5060171161423619
0.,2.22,0.5058979692598757
0.,2.23,0.5057811816437343
0.,2.24,0.5056667065773337
0.,2.25,0.5055544982691211
0.,2.2600000000000002,0.5054445118342772
0.,2.27,0.5053367032767615
0.,2.2800000000000002,0.5052310294717134
0.,2.29,0.505127448148202
0.,2.3000000000000003,0.5050259178723168
0.,2.31,0.5049263980305936
0.,2.32,0.5048288488137689
0.,2.33,0.5047332312008551
0.,2.34,0.5046395069435323
0.,2.35,0.5045476385508479
0.,2.36,0.5044575892742198
0.,2.37,0.5043693230927366
0.,2.38,0.504282804698749
0.,2.39,0.5041979994837458
0.,2.4,0.50411487352451
0.,2.41,0.5040333935695498
0.,2.42,0.5039535270257968
0.,2.43,0.5038752419455683
0.,2.44,0.5037985070137888
0.,2.45,0.5037232915354621
0.,2.46,0.5036495654233943
0.,2.47,0.5035772991861572
0.,2.48,0.5035064639162927
0.,2.49,0.5034370312787482
0.,2.5,0.5033689734995427
0.,2.5100000000000002,0.5033022633546574
0.,2.52,0.5032368741591448
0.,2.5300000000000002,0.5031727797564546
0.,2.54,0.5031099545079712
0.,2.5500000000000003,0.5030483732827579
0.,2.56,0.5029880114475029
0.,2.57,0.5029288448566678
0.,2.58,0.5028708498428272
0.,2.59,0.502814003207202
0.,2.6,0.5027582822103804
0.,2.61,0.5027036645632205
0.,2.62,0.5026501284179352
0.,2.63,0.5025976523593526
0.,2.64,0.5025462153963496
0.,2.65,0.5024957969534551
0.,2.66,0.5024463768626197
0.,2.67,0.5023979353551482
0.,2.68,0.5023504530537917
0.,2.69,0.5023039109649964
0.,2.7,0.5022582904713063
0.,2.71,0.5022135733239158
0.,2.72,0.5021697416353694
0.,2.73,0.5021267778724076
0.,2.74,0.5020846648489521
0.,2.75,0.502043385719232
0.,2.7600000000000002,0.5020029239710452
0.,2.77,0.5019632634191528
0.,2.7800000000000002,0.5019243881988052
0.,2.79,0.5018862827593961
0.,2.8000000000000003,0.5018489318582414
0.,2.81,0.5018123205544829
0.,2.82,0.5017764342031107
0.,2.83,0.5017412584491059
0.,2.84,0.5017067792216977
0.,2.85,0.5016729827287356
0.,2.86,0.5016398554511717
0.,2.87,0.5016073841376535
0.,2.88,0.5015755557992222
0.,2.89,0.5015443577041184
0.,2.9,0.5015137773726879
0.,2.91,0.5014838025723904
0.,2.92,0.5014544213129063
0.,2.93,0.5014256218413398
0.,2.94,0.5013973926375184
0.,2.95,0.5013697224093842
0.,2.96,0.5013426000884769
0.,2.97,0.5013160148255066
0.,2.98,0.5012899559860136
0.,2.99,0.5012644131461146
0.,3.,0.5012393760883331
0.,3.0100000000000002,0.5012148347975123
0.,3.02,0.5011907794568085
0.,3.0300000000000002,0.5011672004437646
0.,3.04,0.5011440883264611
0.,3.0500000000000003,0.501121433859743
0.,3.06,0.5010992279815213
0.,3.0700000000000003,0.5010774618091488
0.,3.08,0.5010561266358664
0.,3.09,0.5010352139273201
0.,3.1,0.5010147153181479
0.,3.11,0.5009946226086326
0.,3.12,0.5009749277614226
0.,3.13,0.5009556228983163
0.,3.14,0.5009367002971112
0.,3.15,0.5009181523885144
0.,3.16,0.5008999717531153
0.,3.17,0.5008821511184172
0.,3.18,0.5008646833559286
