"eta_over_alpha","t","Fidelity"
0.,2.24,0.5084996959323851
0.,2.25,0.5083314046639101
0.,2.26,0.5081664449712547
0.,2.27,0.5080047509322343
0.,2.28,0.5078462579272486
0.,2.29,0.5076909026136497
0.,2.3,0.5075386229006075
0.,2.31,0.5073893579244658
0.,2.32,0.5072430480245763
0.,2.33,0.5070996347196044
0.,2.34,0.5069590606842955
0.,2.35,0.506821269726697
0.,2.36,0.5066862067658212
0.,2.37,0.5065538178097478
0.,2.38,0.5064240499341519
0.,2.39,0.5062968512612525
0.,2.4,0.5061721709391727
0.,2.41,0.5060499591217045
0.,2.42,0.5059301669484676
0.,2.43,0.5058127465254596
0.,2.44,0.5056976509059847
0.,2.45,0.5055848340719579
0.,2.46,0.5054742509155752
0.,2.47,0.5053658572213435
0.,2.48,0.5052596096484633
0.,2.49,0.5051554657135563
0.,2.5,0.505053383773734
0.,2.51,0.5049533230099971
0.,2.52,0.5048552434109621
0.,2.53,0.5047591057569079
0.,2.54,0.504664871604135
0.,2.55,0.5045725032696335
0.,2.56,0.5044819638160528
0.,2.57,0.5043932170369649
0.,2.58,0.5043062274424217
0.,2.59,0.5042209602447925
0.,2.6,0.5041373813448823
0.,2.61,0.504055457318325
0.,2.62,0.5039751554022417
0.,2.63,0.5038964434821633
0.,2.64,0.5038192900792117
0.,2.65,0.503743664337532
0.,2.66,0.503669536011974
0.,2.67,0.503596875456015
0.,2.68,0.5035256536099226
0.,2.69,0.5034558419891494
0.,2.7,0.5033874126729575
0.,2.71,0.5033203382932674
0.,2.72,0.503254592023727
0.,2.73,0.5031901475689956
0.,2.74,0.5031269791542403
0.,2.75,0.5030650615148397
0.,2.76,0.5030043698862898
0.,2.77,0.5029448799943114
0.,2.78,0.50288656804515
0.,2.79,0.5028294107160697
0.,2.8,0.5027733851460338
0.,2.81,0.5027184689265696
0.,2.82,0.5026646400928135
0.,2.83,0.5026118771147338
0.,2.84,0.5025601588885255
0.,2.85,0.502509464728177
0.,2.86,0.5024597743572021
0.,2.87,0.5024110679005356
0.,2.88,0.5023633258765893
0.,2.89,0.5023165291894656
0.,2.9,0.5022706591213237
0.,2.91,0.5022256973248982
0.,2.92,0.5021816258161643
0.,2.93,0.5021384269671488
0.,2.94,0.5020960834988831
0.,2.95,0.5020545784744957
0.,2.96,0.5020138952924407
0.,2.97,0.5019740176798609
0.,2.98,0.5019349296860819
0.,2.99,0.5018966156762348
0.,3.,0.5018590603250048
0.,3.01,0.5018222486105047
0.,3.02,0.5017861658082676
0.,3.03,0.5017507974853597
0.,3.04,0.50171612949461
0.,3.05,0.5016821479689527
0.,3.06,0.5016488393158829
0.,3.07,0.5016161902120208
0.,3.08,0.5015841875977849
0.,3.09,0.5015528186721693
0.,3.1,0.5015220708876243
0.,3.11,0.50149193194504
0.,3.12,0.5014623897888272
0.,3.13,0.5014334326020958
0.,3.14,0.5014050488019312
0.,3.15,0.5013772270347597
0.,3.16,0.5013499561718103
0.,3.17,0.5013232253046623
0.,3.18,0.5012970237408846
0.,3.19,0.5012713409997582
0.,3.2,0.501246166808085
0.,3.21,0.5012214910960799
0.,3.22,0.5011973039933428
0.,3.23,0.5011735958249116
0.,3.24,0.5011503571073922
0.,3.25,0.5011275785451661
0.,3.26,0.5011052510266735
0.,3.27,0.5010833656207672
0.,3.28,0.5010619135731421
0.,3.29,0.5010408863028338
0.,3.3,0.5010202753987862
0.,3.31,0.5010000726164873
0.,3.32,0.5009802698746719
0.,3.33,0.5009608592520902
0.,3.34,0.5009418329843381
0.,3.35,0.5009231834607528
0.,3.36,0.5009049032213687
0.,3.37,0.500886984953933
0.,3.38,0.5008694214909818
0.,3.39,0.5008522058069728
0.,3.4,0.5008353310154755
0.,3.41,0.5008187903664165
0.,3.42,0.5008025772433802
0.,3.43,0.5007866851609617
0.,3.44,0.5007711077621734
0.,3.45,0.5007558388159018
0.,3.46,0.5007408722144153
0.,3.47,0.5007262019709217
0.,3.48,0.5007118222171728
