"eta_over_gamma","t","Fidelity"
2.,3.8000000000000003,0.5371824243191092
2.,3.84,0.5358381721977522
2.,3.88,0.5345404610868689
2.,3.92,0.5332878006996818
2.,3.96,0.5320787410313785
2.,4.,0.5309118717644503
6.,0.,1.
6.,0.04,0.9999446638635083
6.,0.08,0.9996139389970677
6.,0.12,0.9988547576819498
6.,0.16,0.9975967975030615
6.,0.2,0.9958176087555524
6.,0.24,0.9935220088659218
6.,0.28,0.99072992805774
6.,0.32,0.9874692602196005
6.,0.36,0.9837716771227729
6.,0.4,0.9796701961914183
6.,0.44,0.9751977850622398
6.,0.48,0.9703865783158472
6.,0.52,0.9652674548697107
6.,0.56,0.959869827094276
6.,0.6,0.9542215534888148
6.,0.64,0.9483489227623427
6.,0.68,0.9422766784980143
6.,0.72,0.9360280662170228
6.,0.76,0.9296248921427406
6.,0.8,0.9230875873977293
6.,0.84,0.9164352739891286
6.,0.88,0.9096858304889488
6.,0.92,0.9028559562320293
6.,0.96,0.8959612333944564
6.,1.,0.8890161866325106
6.,1.04,0.882034340147662
6.,1.08,0.875028272150566
6.,1.12,0.8680096667582389
6.,1.16,0.8609893633926959
6.,1.2,0.8539774037673165
6.,1.24,0.8469830765558264
6.,1.28,0.8400149598418856
6.,1.32,0.8330809614472974
6.,1.36,0.8261883572349178
6.,1.4000000000000001,0.8193438274796736
6.,1.44,0.8125534913975907
6.,1.48,0.8058229399194703
6.,1.52,0.7991572667918878
6.,1.56,0.7925610980849758
6.,1.6,0.7860386201826577
6.,1.6400000000000001,0.7795936063277895
6.,1.68,0.7732294417913264
6.,1.72,0.7669491477315087
6.,1.76,0.7607554038060538
6.,1.8,0.754650569597457
6.,1.84,0.7486367049087513
6.,1.8800000000000001,0.7427155889844371
6.,1.92,0.7368887387087801
6.,1.96,0.7311574258312602
6.,2.,0.7255226932666545
6.,2.04,0.7199853705150507
6.,2.08,0.7145460882449685
6.,2.12,0.7092052920807805
6.,2.16,0.703963255633681
6.,2.2,0.6988200928136766
6.,2.24,0.6937757694582255
6.,2.2800000000000002,0.6888301143116055
6.,2.32,0.6839828293873877
6.,2.36,0.6792334997449627
6.,2.4,0.6745816027095093
6.,2.44,0.6700265165635322
6.,2.48,0.6655675287366335
6.,2.52,0.6612038435190749
6.,2.56,0.6569345893232967
6.,2.6,0.6527588255165815
6.,2.64,0.64867554884683
6.,2.68,0.6446836994824297
6.,2.72,0.6407821666861571
6.,2.7600000000000002,0.6369697941421386
6.,2.8000000000000003,0.6332453849539149
6.,2.84,0.6296077063308938
6.,2.88,0.6260554939795094
6.,2.92,0.6225874562147358
6.,2.96,0.6192022778067419
6.,3.,0.6158986235768671
6.,3.04,0.6126751417562886
6.,3.08,0.6095304671201833
6.,3.12,0.6064632239095331
6.,3.16,0.6034720285520943
6.,3.2,0.600555492193561
6.,3.24,0.5977122230493123
6.,3.2800000000000002,0.5949408285866963
6.,3.3200000000000003,0.5922399175472646
6.,3.36,0.5896081018179228
6.,3.4,0.5870439981595028
6.,3.44,0.5845462298008488
6.,3.48,0.5821134279060722
6.,3.52,0.5797442329223013
6.,3.56,0.5774372958148088
6.,3.6,0.5751912791961078
6.,3.64,0.5730048583552412
6.,3.68,0.570876722193181
6.,3.72,0.5688055740699454
6.,3.7600000000000002,0.5667901325687563
6.,3.8000000000000003,0.5648291321822816
6.,3.84,0.5629213239257423
6.,3.88,0.5610654758814231
6.,3.92,0.5592603736788744
6.,3.96,0.5575048209148805
6.,4.,0.5557976395170441
10.,0.,1.
10.,0.04,0.9999466431056494
10.,0.08,0.9996387429448106
10.,0.12,0.9989543295023275
10.,0.16,0.9978492487210652
10.,0.2,0.9963174321437618
10.,0.24,0.994371053117793
10.,0.28,0.9920306333858662
10.,0.32,0.9893201276587755
10.,0.36,0.986264497840615
10.,0.4,0.9828885317075153
10.,0.44,0.9792162829522582
10.,0.48,0.9752708208348502
10.,0.52,0.9710741334779543
10.,0.56,0.9666471068119322
10.,0.6,0.9620095401894186
10.,0.64,0.9571801792119157
10.,0.68,0.9521767560789192
10.,0.72,0.9470160326562693
10.,0.76,0.9417138439039312
10.,0.8,0.9362851405243774
10.,0.84,0.9307440303020313
10.,0.88,0.9251038179075263
10.,0.92,0.9193770430906614
10.,0.96,0.9135755172596214
10.,1.,0.9077103584793278
10.,1.04,0.901792024938168
10.,1.08,0.8958303469390874
10.,1.12,0.889834557473197
10.,1.16,0.8838133214337971
10.,1.2,0.877774763527507
10.,1.24,0.87172649493735
10.,1.28,0.8656756387906808
10.,1.32,0.8596288544827475
10.,1.36,0.8535923609047342
10.,1.4000000000000001,0.8475719586230341
10.,1.44,0.841573051054665
10.,1.48,0.8356006646818366
10.,1.52,0.8296594683469257
10.,1.56,0.8237537916673695
10.,1.6,0.8178876426083797
10.,1.6400000000000001,0.8120647242497718
10.,1.68,0.8062884507817223
10.,1.72,0.8005619627627732
10.,1.76,0.7948881416720559
10.,1.8,0.7892696237863334
10.,1.84,0.7837088134112118
10.,1.8800000000000001,0.7782078954946148
10.,1.92,0.7727688476494428
10.,1.96,0.7673934516112404
10.,2.,0.7620833041555606
10.,2.04,0.7568398274987089
10.,2.08,0.7516642792045563
10.,2.12,0.7465577616191263
10.,2.16,0.7415212308537871
10.,2.2,0.7365555053369477
10.,2.24,0.7316612739533663
10.,2.2800000000000002,0.7268391037893522
10.,2.32,0.7220894475013396
10.,2.36,0.7174126503246261
10.,2.4,0.7128089567383048
10.,2.44,0.7082785168017637
10.,2.48,0.7038213921774771
10.,2.52,0.6994375618541433
10.,2.56,0.6951269275836955
10.,2.6,0.6908893190450638
10.,2.64,0.6867244987470611
10.,2.68,0.6826321666822038
10.,2.72,0.6786119647428077
10.,2.7600000000000002,0.6746634809101777
10.,2.8000000000000003,0.6707862532272615
10.,2.84,0.6669797735646857
10.,2.88,0.6632434911896768
10.,2.92,0.6595768161469349
10.,2.96,0.6559791224601617
10.,3.,0.652449751162542
10.,3.04,0.6489880131641435
10.,3.08,0.6455931919638329
10.,3.12,0.6422645462129793
10.,3.16,0.6390013121379137
10.,3.2,0.6358027058277801
10.,3.24,0.632667925394157
10.,3.2800000000000002,0.6295961530085208
10.,3.3200000000000003,0.6265865568233643
10.,3.36,0.6236382927825415
10.,3.4,0.6207505063261358
10.,3.44,0.6179223339949446
10.,3.48,0.6151529049394273
10.,3.52,0.6124413423377527
10.,3.56,0.6097867647273849
10.,3.6,0.6071882872544367
10.,3.64,0.6046450228448407
10.,3.68,0.6021560833011919
10.,3.72,0.5997205803289731
10.,3.7600000000000002,0.5973376264956608
10.,3.8000000000000003,0.595006336126104
10.,3.84,0.5927258261373723
10.,3.88,0.5904952168161506
10.,3.92,0.5883136325416046
10.,3.96,0.5861802024565149
10.,4.,0.5840940610893499
